"","","Crafting Table","","Player Decontaminator","","Chaingun Turret "Mister Friendly"","","","","","","Cinnabar","","Gunmetal Ingot","","","","","","ZIRNOX Nuclear Reactor",""
"","","So it begins!","","Liquidator Suit Helmet","","Cadmium Powder","","","","","","Schist Rare Earth Ore","","Emerald","","","","","","Gas Centrifuge",""
"","","10x Eye of Ender","","Trench Mask","","Large Radar","","","","","","Alexandrite Ore","","Bismuth Bronze Ingot","","","","","","Vacuum Refinery",""
"","","Advancement: A Terrible Fortress","","Large Electricity Pylon","","Polymer Bar","","","","","","Coal Ore","","Lead Ingot","","","","","","Hot Cracked Oil",""
"","","Enchantment Table","","Steam-Powered Groundwater Pump","","1 B of Gasoline","","","","","","Lapis Lazuli Ore","","Dineutronium Ingot","","","","","","PVC Bar",""
"","","","","Leather Gas Mask","","Large Radar","","","","","","Aluminium-Bearing Ore","","Beryllium Ingot","","","","","","High-Performance Solvent",""
"","","","","High-Speed Steel Ingot","","Electric Arc Furnace","","","","","","Schist Gold Ore","","Cadmium Steel Ingot","","","","","","Vacuum Light Oil",""
"","","","","Uranium Hexafluoride","","Artillery Turret "Greg"","","","","","","Emerald Ore","","Titanium Ingot","","","","","","Chlorine Gas",""
"","","","","Multi Fluid Identifier","","Auxiliary Cooling Tower","","","","","","Aluminium Crystals","","Iron Ingot","","","","","","Pu238Be Billet",""
"","","","","Machine Upgrade Template","","Raw Bedrock Ore","","","","","","Nether Depth Neodymium Ore","","Early Game","","","","","","Kerosene",""
"","","","","16x Concrete","","Survey Scanner","","","","","","Schist Asbestos Ore","","Minecraft Grade Copper Ingot","","","","","","Uranium Hexafluoride",""
"","","","","Soldering Station","","Oil Refinery","","","","","","Depth Zirconium Ore","","High-Speed Steel Ingot","","","","","","4x Beryllium Deco Block",""
"","","","","Arc Welder","","Hot Crude Oil","","","","","","Nether Phosphorus Ore","","","","","","","","Electric Chainsaw",""
"","","","","Speed Upgrade Mk.I","","Electric Groundwater Pump","","","","","","Copper Ore","","","","","","","","4x Gas Centrifuge",""
"","","","","Oil Derrick","","Carbon Dioxide","","","","","","Nether Depth Nitanium Ore","","","","","","","","Fullerene",""
"","","","","Advanced Makeshift Gas Mask Filter","","Cadmium Steel Ingot","","","","","","Nether Sulfur Ore","","","","","","","","Bismuth Nugget",""
"","","","","2x Medium Wooden Electricity Pylon","","Compact Launch Pad","","","","","","Niter Ore","","","","","","","","Versatile Integrated Circuit",""
"","","","","Redstone-over-Radio Pager","","Microchip","","","","","","Beryllium Ore","","","","","","","","Depleted Uranium-235 Fuel",""
"","","","","Leather Mask With Advanced Filter","","Watz Powerplant","","","","","","NTM: Schist Ores","","","","","","","","Depleted Uranium Fuel",""
"","","","","High-Performance Hazmat Suit","","Hydrotreater","","","","","","Uranium Ore","","","","","","","","Glowstone Dust",""
"","","","","Rubber Cladding","","Radioisotope Thermoelectric Generator and Radiolysis Chamber","","","","","","Schist Schrabidium Ore","","","","","","","","Reformate",""
"","","","","Steel Anvil","","Hydraulic Fracking Tower","","","","","","Iron Crystals","","","","","","","","Fractioning Tower",""
"","","","","Alexandrite","","Jetpack","","","","","","Copper Crystals","","","","","","","","Gas Centrifuge Overclocking Upgrade",""
"","","","","Strand Caster","","Heavy Machine Gun Turret "Chekhov's Gun"","","","","","","Sulfur Ore","","","","","","","","Light Oil",""
"","","","","Redstone-over-Radio Transmitter","","1 B of Petroleum Gas","","","","","","Gold Ore","","","","","","","","Fullerene Solution",""
"","","","","Demolition Charge","","Handheld Geiger Counter","","","","","","Nether Tungsten Ore","","","","","","","","Cadmium Powder",""
"","","","","Makeshift Gas Mask Filter","","Industrial Combustion Engine","","","","","","Nether","","","","","","","","Chlorine Gas",""
"","","","","Stirling Engine","","Desh Anvil","","","","","","Depth Borax Ore","","","","","","","","Plutonium-238 Nugget",""
"","","","","Hydrogen Peroxide","","Tank","","","","","","Schist Uranium Ore","","","","","","","","Pu238Be RBMK Neutron Source",""
"","","","","Pre-Cement Materials","","Goalkeeper Twin Chaingun CIWS "Howard"","","","","","","Schist Lithium Ore","","","","","","","","BTX",""
"","","","","4x Cement","","Asphalt","","","","","","Ores","","","","","","","","NU Fuel Pellet",""
"","","","","Steam Engine","","Bedrock Ore Mining","","","","","","","","","","","","","","4x Steel Deco Block",""
"","","","","Ammo Press","","Pumpjack","","","","","","","","","","","","","","Versatile Circuit Board",""
"","","","","Crucible","","1 B of Naphtha","","","","","","","","","","","","","","Unsaturated Hydrocarbons",""
"","","","","2x Steel Ingot","","Rocket Launcher Turret "Richard"","","","","","","","","","","","","","","NU RBMK Fuel Rod",""
"","","","","Redstone Battery","","Electric Chainsaw","","","","","","","","","","","","","","CO2-Desh Laser Crystal",""
"","","","","Copper Capacitor","","Mustard Willow","","","","","","","","","","","","","","Satellite Dish",""
"","","","","Analog Circuit Board","","Military Grade Circuit Board","","","","","","","","","","","","","","Nitric Acid",""
"","","","","Empty Fluid Barrel","","PUREX","","","","","","","","","","","","","","",""
"","","","","Machine Template Folder","","Sentry Turret "Brown"","","","","","","","","","","","","","","",""
"","","","","Time Bomb","","Fractioning Tower","","","","","","","","","","","","","","",""
"","","","","Shredder","","Builder's Jetpack","","","","","","","","","","","","","","",""
"","","","","Latex Bar","","Silo Launch Pad","","","","","","","","","","","","","","",""
"","","","","Leather Mask With Makeshift Filter","","Industrial Liquefaction Machine","","","","","","","","","","","","","","",""
"","","","","Electricity Pylon","","Natural Gas","","","","","","","","","","","","","","",""
"","","","","Tungsten Reacher","","","","","","","","","","","","","","","","",""
"","","","","Servo Set","","","","","","","","","","","","","","","","",""
"","","","","Any plateStamp","","","","","","","","","","","","","","","","",""
"","","","","Industrial Mixer","","","","","","","","","","","","","","","","",""
"","","","","Timed Mining Charge","","","","","","","","","","","","","","","","",""
"","","","","Bricked Furnace","","","","","","","","","","","","","","","","",""
"","","","","Blast Furnace","","","","","","","","","","","","","","","","",""
"","","","","Stirling Sawmill","","","","","","","","","","","","","","","","",""
"","","","","Coal Tar Creosote","","","","","","","","","","","","","","","","",""
"","","","","Assembly Machine","","","","","","","","","","","","","","","","",""
"","","","","Jungle Wood","","","","","","","","","","","","","","","","",""
"","","","","Gas Masks and Filters","","","","","","","","","","","","","","","","",""
"","","","","Pipe Anchor","","","","","","","","","","","","","","","","",""
"","","","","Drainage Pipe","","","","","","","","","","","","","","","","",""
"","","","","Red Copper Cable","","","","","","","","","","","","","","","","",""
"","","","","Advanced Hazmat Suit","","","","","","","","","","","","","","","","",""
"","","","","Rotary Furnace","","","","","","","","","","","","","","","","",""
"","","","","Iron Furnace","","","","","","","","","","","","","","","","",""
"","","","","Hazmat Suit","","","","","","","","","","","","","","","","",""
"","","","","Solar Tower Boiler","","","","","","","","","","","","","","","","",""
"","","","","Minecraft Grade Copper Ingot","","","","","","","","","","","","","","","","",""
"","","","","Conveyor Inserter","","","","","","","","","","","","","","","","",""
"","","","","Cable Drum","","","","","","","","","","","","","","","","",""
"","","","","Power Saving Upgrade Mk.I","","","","","","","","","","","","","","","","",""
"","","","","Effectiveness Upgrade Mk.I","","","","","","","","","","","","","","","","",""
"","","","","Compressor","","","","","","","","","","","","","","","","",""
"","","","","Boiler and Steam Condenser","","","","","","","","","","","","","","","","",""
"","","","","Burner Press","","","","","","","","","","","","","","","","",""
"","","","","Golden Capacitor","","","","","","","","","","","","","","","","",""
"","","","","Industrial Smokestack","","","","","","","","","","","","","","","","",""
"","","","","Lung Diagnostic","","","","","","","","","","","","","","","","",""
"","","","","Stimpak","","","","","","","","","","","","","","","","",""
"","","","","Semtex Mining Charge","","","","","","","","","","","","","","","","",""
"","","","","Steel Armor","","","","","","","","","","","","","","","","",""
"","","","","2x Medium Steel Electricity Pylon","","","","","","","","","","","","","","","","",""
"","","","","Air Intake","","","","","","","","","","","","","","","","",""
"","","","","Pneumatic Tube","","","","","","","","","","","","","","","","",""
"","","","","Steel Furnace","","","","","","","","","","","","","","","","",""
"","","","","Conveyor Splitter","","","","","","","","","","","","","","","","",""
"","","","","Pollution Detector","","","","","","","","","","","","","","","","",""
"","","","","Steel Tools","","","","","","","","","","","","","","","","",""
"","","","","2x Graphite Ingot","","","","","","","","","","","","","","","","",""
"","","","","Water","","","","","","","","","","","","","","","","",""
"","","","","Safe Barrel™","","","","","","","","","","","","","","","","",""
"","","","","16x Conveyor Belt","","","","","","","","","","","","","","","","",""
"","","","","Battery Socket","","","","","","","","","","","","","","","","",""
"","","","","Any usedCloth","","","","","","","","","","","","","","","","",""
"","","","","Electricity Connector","","","","","","","","","","","","","","","","",""
